3,0,2289.3333333333335,2818.0,3635.8245194317374,0.0,empty
7,0,866.8571428571429,1301.2857142857142,1589.5260624075054,7.0,empty
11,0,1214.0,1341.090909090909,1872.8438942650087,8.0,empty
7,0,1444.2857142857142,1821.142857142857,2342.2776047253087,0.0,empty
7,0,1385.5,1930.5,2389.6648383988145,0.0,empty
7,0,1412.5714285714287,1967.2857142857142,2436.4147920612763,0.0,empty
16,0,1437.90625,2526.15625,2934.724559078032,0.0,empty
15,0,1220.7666666666667,1962.7666666666667,2350.424617818162,2.0,empty
40,0,1639.0625,2230.9125,2857.27586416446,3.0,full
46,0,1688.7717391304348,2359.554347826087,2983.555361492276,3.0,full
47,0,1698.659574468085,1867.404255319149,2598.5477614331307,12.0,full
46,0,1374.6304347826087,1680.3695652173913,2302.3490241380896,14.0,full
51,0,1401.2941176470588,2251.8627450980393,2737.4086264611906,9.0,full
15,0,1053.8666666666666,1348.5333333333333,1796.6985243673976,9.0,half-full
15,0,1746.3,1098.6333333333334,2087.9445914242447,7.0,half-full
15,0,1346.5333333333333,2649.2,3017.7042466619946,0.0,half-full
28,0,1452.3035714285713,2508.660714285714,2975.6046390469605,2.0,half-full
17,0,2161.176470588235,1399.6470588235295,2611.752575647225,5.0,half-full
17,0,2188.470588235294,1525.7058823529412,2701.366491585773,4.0,half-full
20,0,1155.5,2377.45,2701.335337763134,4.0,half-full
27,0,1165.0555555555557,2316.462962962963,2642.6225527726338,4.0,half-full
34,0,1570.7794117647059,2113.3970588235293,2749.062440609083,6.0,not-organized
33,0,1672.621212121212,1968.560606060606,2702.039153513578,5.0,not-organized
25,0,1240.56,2147.44,2560.9442815668417,5.0,not-organized
23,0,1425.0652173913043,1803.5,2381.212001270885,6.0,not-organized
9,0,1899.7222222222222,1994.1666666666667,2796.7703938527507,0.0,not-organized
16,0,1743.71875,2146.96875,2902.9339991640404,1.0,not-organized
15,0,1456.1,1715.1,2304.076557093057,5.0,not-organized
